"sguid","TableCat","orig","region","hincomex2","agex2","statex","state2","rake_wt"
"1567628121_5d701b59a1d4b7.55386382",1,1,4,2,2,"SC","TX",2.76059464138596
"1567628518_5d701ce664b670.39454955",1,1,2,3,2,"NE","NY",1.34053682141569
"1567628551_5d701d072b8d35.99058700",1,1,4,2,1,"SC","TX",8.04361845970833
"1567628556_5d701d0ca1a756.15945032",1,1,6,1,1,"WE","CA",1.24929606434222
"1567628705_5d701da120a1b8.01636883",1,1,2,2,3,"NE","WV",0.562385239355018
"1567629318_5d702006cb28a3.88678097",1,1,1,1,1,"","",1.4901943786471
"1567629375_5d70203fe6ce13.50313672",1,1,4,1,3,"SC","TX",0.32165157971102
"1567629571_5d7021039f5b69.83198081",1,1,1,2,2,"GL","IN",1.69086709466794
"1567629649_5d7021516393a0.60184136",1,1,2,1,3,"NE","WV",0.170105572211093
"1567629995_5d7022ab98e870.20240384",1,1,6,1,3,"WE","CA",0.165163840042542
"1567630205_5d70237d76e078.95008809",1,1,1,3,1,"GL","IL",4.5237807629511
"1567630361_5d702419c86000.58383879",1,1,3,3,1,"NP","CO",4.18836704399893
"1567630769_5d7025b1cdf0f0.83495518",1,1,1,3,3,"GL","OH",0.598068803420894
"1567631350_5d7027f626c0c7.14436692",1,1,6,1,1,"WE","AZ",1.24929606434222
"1567631376_5d702810c72654.15032064",1,1,1,2,2,"GL","IL",1.69086709466794
"1567631688_5d70294898a003.00424848",1,1,1,1,1,"GL","IN",1.4901943786471
"1567631835_5d7029dba4c932.81477430",1,1,5,2,3,"SE","NC",0.810596302483973
"1567632301_5d702bad3dc033.22024604",1,1,5,1,3,"SE","NC",0.245182373606338
"1567632317_5d702bbdb11738.11977614",1,1,6,2,3,"WE","AZ",0.54604740166802
"1567632383_5d702bffa78274.90729694",1,1,2,3,3,"NE","VA",0.516389221611446
"1567632554_5d702caaaa6c45.56628302",1,1,5,2,3,"SE","KY",0.810596302483973
"1567632874_5d702deaf310b9.46053064",1,1,1,3,2,"GL","OH",1.5525754976524
"1567633119_5d702edfc71921.48825147",1,1,5,1,3,"SE","TN",0.245182373606338
"1567633127_5d702ee71a23a3.92654449",1,1,1,1,2,"GL","WI",0.511439302712258
"1567633205_5d702f35c6e164.46771725",1,1,1,1,1,"","",1.4901943786471
"1567633232_5d702f50a7e8f5.01673553",1,1,6,3,2,"WE","WA",1.30159292412056
"1567633373_5d702fdd17dcb8.21899116",1,1,1,1,1,"","",1.4901943786471
"1567633735_5d703147d35e80.19992689",1,1,2,1,2,"NE","PA",0.441590903786401
"1567634310_5d703386b5b9c9.12512100",1,1,2,3,1,"NE","NJ",3.90595799941292
"1567634373_5d7033c5406f98.40405133",1,1,5,2,3,"SE","SC",0.810596302483973
"1567634386_5d7033d2e602e6.55286675",1,1,1,1,1,"","",1.4901943786471
"1567634472_5d70342872cbf1.69761735",1,1,1,1,1,"","",1.4901943786471
"1567634480_5d703430720790.51715126",1,1,1,2,3,"GL","MI",0.651340216035163
"1567634692_5d703504db8ad5.65157752",1,1,6,1,3,"WE","AZ",0.165163840042542
"1567634719_5d70351fb21bb7.34166905",1,1,5,3,2,"SE","FL",1.93218831993066
"1567634774_5d703556c2d2d9.47154661",1,1,5,1,3,"SE","FL",0.245182373606338
"1567634816_5d703580170da8.04580065",1,1,2,2,3,"NE","NH",0.562385239355018
"1567635052_5d70366cecab69.13135669",1,1,2,1,3,"NE","MA",0.170105572211093
"1567635353_5d703799d06be8.02495451",1,1,5,2,3,"SE","NC",0.810596302483973
"1567635680_5d7038e0f2e772.48356676",1,1,1,2,2,"GL","WI",1.69086709466794
"1567635884_5d7039ace152f8.39542135",1,1,2,1,2,"NE","WV",0.441590903786401
"1567636169_5d703ac9eb66c6.82352801",1,1,6,3,2,"WE","AZ",1.30159292412056
"1567636264_5d703b28185290.37730154",1,1,5,2,1,"SE","KY",6.13133462023373
"1567636431_5d703bcff2cc25.15228359",1,1,3,2,2,"NP","KS",1.56549850361658
"1567636533_5d703c35353fc7.82204414",1,1,1,1,1,"","",1.4901943786471
"1567636674_5d703cc27db857.35577013",1,1,5,1,2,"SE","NC",0.636488884790676
